N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT  FINAL,TYPE,STATUT
11,242/01 A 034/09,01 A 034,LORATADINE,ORIN,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,GROUPE SANTE,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
12,001/01 A 034/02,01 A 034,LORATADINE,RESTAMINE,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2002-09-04 00:00:00,2002-09-04 00:00:00,GE,F
13,035/01 A 034/08,01 A 034,LORATADINE,LORATADINE,SIROP,1MG/ML,FL./100ML,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2008-03-24 00:00:00,2008-03-24 00:00:00,GE,F
14,046/01 A 041/02,01 A 041,CETIRIZINE DICHLORHYDRATE,ZYRTEC,SOL BUV.GTTES,10MG/ML,B/01FL COMPTE GTTES DE 15ML,LISTE II,HOP,OFF,,UCB PHARMA,FRANCE,2002-09-04 00:00:00,2002-09-04 00:00:00,GE,I
15,317/01 A 047/11,01 A 047,Desloratadine,DESLOR,COMPRIME PELLICULE,5MG,B/15 ET B/30,LISTE II,HOP,OFF,,INPHA-MEDIS,ALGERIE,2011-05-30 00:00:00,2011-05-30 00:00:00,GE,F
16,245/01 D 029/01,01 D 029,EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS 100%,IRIS,SUSP.INJ.,"0,1IR/ML+1IR/ML+10IR/ML",COFF./3FL . DE 5ML,,HOP,OFF,,ALLERBIO S.A.,FRANCE,2001-06-05 00:00:00,2001-06-05 00:00:00,GE,I
17,245/01 D 030/01,01 D 030,EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS 100%,IRIS,SUSP.INJ.,10IR/ML,COFF/1FL. DE 5ML,,HOP,,,ALLERBIO S.A.,FRANCE,2001-06-05 00:00:00,2001-06-05 00:00:00,GE,I
18,436/02 B 008/09,02 B 008,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETAMINE-10,SOL. INJ.,10MG/ML,B/20FL. DE 20ML,LISTE I,HOP,,,LIORAD,CUBA,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,I
19,436/02 B 009/09,02 B 009,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETAMINE-50,SOL. INJ.,50MG/ML,B/20FL. DE 10ML,LISTE I,HOP,,,LIORAD,CUBA,2009-09-06 00:00:00,2009-09-06 00:00:00,GE,I
20,189/02 B 011/98,02 B 011,PROPOFOL,RECOFOL,SOL.INJ.IV.,200MG/20ML,B/5,LISTE I,HOP,,,SCHERING OY,FINLANDE,1998-11-18 00:00:00,1998-11-18 00:00:00,GE,I
21,080/02 B 012/01,02 B 012,THIOPENTAL SODIQUE,THIOPENTAL,PDRE.SOL.INJ,500MG,B/25FL.,LISTE II,HOP,,,SANDOZ GMBH,AUTRICHE,2001-02-10 00:00:00,2001-02-10 00:00:00,GE,I
22,180/02 B 012/01,02 B 012,THIOPENTAL SODIQUE,THIOPENTAL SODIQUE,PDRE.SOL.INJ,"0,5G",B/50FL.,LISTE II,HOP,,,PHARMADRUG PRODUCTION Gmbh,ALLEMAGNE,2001-03-31 00:00:00,2001-03-31 00:00:00,GE,I
23,415/02 B 012/08,02 B 012,THIOPENTAL SODIQUE,"THIOPENTAL 0,5G ROTEXMEDICA",PDRE. SOL. INJ.,"0,5G",B/50FL.,LISTE II,HOP,,,ROTEXMEDICA GmbH,ALLEMAGNE,2008-06-29 00:00:00,2008-06-29 00:00:00,GE,I
24,080/02 B 013/98,02 B 013,THIOPENTAL SODIQUE,THIOPENTAL,PDRE.SOL.INJ.,1G,B/25FL,LISTE II,HOP,,,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
25,180/02 B 013/01,02 B 013,THIOPENTAL SODIQUE,THIOPENTAL SODIQUE,PDRE.SOL.INJ,1G,B/25FL.,LISTE II,HOP,,,PHARMADRUG PRODUCTION Gmbh,ALLEMAGNE,2001-03-31 00:00:00,2001-03-31 00:00:00,GE,I
26,415/02 B 013/08,02 B 013,THIOPENTAL SODIQUE,THIOPENTAL 1G ROTEXMEDICA,PDRE. SOL. INJ.,1G,B/50FL.,LISTE II,HOP,,,ROTEXMEDICA GmbH,ALLEMAGNE,2008-06-29 00:00:00,2008-06-29 00:00:00,GE,I
27,001/02 B 056/05,02 B 056,HALOTHANE,ANESTANE,SOL. P. INHAL.,"100% STABILISE PAR THYMOL 0,01%",FL/250ML,LISTE I,HOP,,,HIKMA  PHARMACEUTICALS,JORDANIE,2005-09-28 00:00:00,2015-05-06 00:00:00,GE,I
28,450/02 C 016/07,02 C 016,BUPIVACAINE CHLORHYDRATE ANHYDRE,BUPIVACAINE MYLAN,SOL. INJ.,0.005,B/10FL. DE 20ML,LISTE II,HOP,,,MYLAN,France,2007-06-17 00:00:00,2007-06-17 00:00:00,GE,I
29,075/02 C 018/00,02 C 018,LIDOCAINE  CHLORHYDRATE,LIDOCAINE  AGUETTANT,SOL.INJ.,0.01,B/10FL. DE 20ML,LISTE II,HOP,,,AGUETTANT,FRANCE,2000-12-30 00:00:00,2000-12-30 00:00:00,GE,I
30,036/02 C 018/98,02 C 018,LIDOCAINE  CHLORHYDRATE,XYLOCAINE,SOL.INJ.,0.01,FL/20ML,LISTE II,HOP,,,ASTRA,FRANCE,1998-10-28 00:00:00,1998-10-28 00:00:00,RE,I
31,003/02 C 019/01/09,02 C 019,LIDOCAINE  CHLORHYDRATE,KIDOCAINE,SOL. INJ.,0.02,B/06AMP. DE 10ML,LISTE II,HOP,,,GROUPE SAIDAL,ALGERIE,2001-05-12 00:00:00,2009-07-19 00:00:00,GE,F
32,075/02 C 019/98,02 C 019,LIDOCAINE  CHLORHYDRATE,LIDOCAINE 2% AGUETTANT,SOL.INJ.,0.02,B/10FL. DE 20ML,LISTE II,HOP,,,AGUETTANT,FRANCE,1998-10-28 00:00:00,1998-10-28 00:00:00,GE,I
33,304/02 C 019/06,02 C 019,LIDOCAINE  CHLORHYDRATE,LIDOCAINE-GEO,SOL. INJ.,0.02,B/1FL DE  25ML ET B/2FL DE 25ML,LISTE II,HOP,,,GEOPHARM,ALGERIE,2006-12-02 00:00:00,2006-12-02 00:00:00,GE,F
34,023/02 C 019/96,02 C 019,LIDOCAINE  CHLORHYDRATE,UNICAINE,SOL.INJ.,0.02,B/10AMP DE 5ML,LISTE II,HOP,,,UNIMED,TUNISIE,1996-10-27 00:00:00,1996-10-27 00:00:00,GE,I
35,036/02 C 019/98,02 C 019,LIDOCAINE CHLORHYDRATE,XYLOCAINE,SOL.INJ.,0.02,FL/20ML,LISTE II,HOP,,,ASTRA,FRANCE,1998-10-28 00:00:00,1998-10-28 00:00:00,RE,I
36,246/02 C 019/02,02 C 019,LIDOCAINE CHLORHYDRATE,XYLOROLLAND SANS VASOCONTRICTEUR,SOL.INJ.,0.02,B/50CART DE 1.8ML,LISTE II,HOP,,,PRODUITS DENTAIRES PIERRE ROLLAND,FRANCE,2002-02-09 00:00:00,2002-02-09 00:00:00,GE,I
37,075/02 C 021/98,02 C 021,LIDOCAINE CHLORHYDRATE/ADRENALINE,LIDOCAINE 1% ADRENALINE AGUETTANT,SOL.INJ.,0.01,B/10FL. DE 20ML,LISTE I,HOP,,,AGUETTANT,FRANCE,1998-10-28 00:00:00,1998-10-28 00:00:00,GE,I
38,075/02 C 022/98,02 C 022,LIDOCAINE CHLORHYDRATE/ADRENALINE,LIDOCAINE 2% ADRENALINE AGUETTANT,SOL.INJ.,0.02,B/10FL. DE 20ML,LISTE I,HOP,,,AGUETTANT,FRANCE,1998-10-28 00:00:00,1998-10-28 00:00:00,GE,I
39,299/02 C 022/04,02 C 022,LIDOCAINE CHLORHYDRATE/ADRENALINE,XILONIBSA,SOL.INJ.,0.02,"B/100CART. DE 1,8ML",LISTE I,HOP,,,INIBSA S.A.,ESPAGNE,2004-03-23 00:00:00,2004-03-23 00:00:00,GE,I
40,304/02 C 022/08,02 C 022,LIDOCAINE CHLORHYDRATE/EPINEPHRINE TARTRATE EXPRIME EN EPINEPHRINE,ADRECAINE-GEO,SOL.INJ. USAGE DENTAIRE,2%/1/80000,"B/50CART. DE 1,8ML",LISTE I,HOP,,,GEOPHARM,ALGERIE,2008-12-23 00:00:00,2008-12-23 00:00:00,GE,F
41,180/02 C 027/01,02 C 027,LIDOCAINE VISQUEUSE,LIDOCAINE,GEL,"2%,",B/100T. DE 30G ET B/1T. DE 100G,LISTE II,HOP,,,PHARMADRUG PRODUCTION Gmbh,ALLEMAGNE,2001-04-22 00:00:00,2001-04-22 00:00:00,GE,I
42,044/02 C 028/97,02 C 028,MEPIVACAINE/ADRENALINE,SCANDICAINE,SOL.INJ,"2%/1/100 000  (OU 2G/0,001G/100ML)","B/50CART. DE 1,8ML",LISTE I,HOP,,,SEPTODENT,FRANCE,1997-04-08 00:00:00,1997-04-08 00:00:00,RE,I
43,044/02 C 029/98,02 C 029,MEPIVACAINE/NORADRENALINE,SCANDICAINE,CARPULE,0.02,"B/50CART. DE 1,8ML",LISTE I,HOP,,,SEPTODENT,FRANCE,1998-04-27 00:00:00,1998-04-27 00:00:00,RE,I
44,044/02 C 030/97,02 C 030,MEPIVACAINE,SCANDICAINE,SOL.INJ,0.03,"B/50CART. DE 1,8ML",,HOP,,,SEPTODENT,FRANCE,1997-04-08 00:00:00,1997-04-08 00:00:00,RE,I
45,147/02 C 031/99,02 C 031,PRAMOCAINE CHLORHYDRATE,TRONOTHANE,GEL.DERM.,0.01,T/30 G,,HOP,OFF,,ABBOTT,FRANCE,1999-05-04 00:00:00,1999-05-04 00:00:00,RE,I
46,075/02 C 044/01,02 C 044,BUPIVACAINE CHLORHYDRATE,BUPIVACAINE AGUETTANT,SOL .INJ.,0.0025,B/10FL. DE 20ML,LISTE II,HOP,,,AGUETTANT,FRANCE,2001-01-24 00:00:00,2001-01-24 00:00:00,GE,I
47,186/02 C 046/09,02 C 046,LIDOCAINE/PRILOCAINE,ANESDERM GE 5%,CREME,"2,5G/2,5G/100G",T/5G AVEC DEUX PANSEMENTS ADHESIFS,LISTE II,HOP,OFF,,PIERRE FABRE MEDICAMENT,FRANCE,2009-05-11 00:00:00,2009-05-11 00:00:00,RE,I
48,246/02 C 051/01,02 C 051,LIDOCAINE CHLORHYDRATE/NORADRENALINE TARTRATE,XYLOROLLAND AVEC NORADRENALINE,SOL. INJ.,"2G/0,00125G/100ML","B/50CART. DE 1,8ML",LISTE I,HOP,,,PRODUITS DENTAIRES PIERRE ROLLAND,FRANCE,2001-05-12 00:00:00,2001-05-12 00:00:00,GE,I
49,246/02 C 052/01,02 C 052,LIDOCAINE,XYLOCONTACT,CREME P. USAGE DENTAIRE,"7,48G/100G",T/15G,LISTE II,HOP,,,PRODUITS DENTAIRES PIERRE ROLLAND,FRANCE,2001-05-12 00:00:00,2001-05-12 00:00:00,GE,I
50,044/02 C 054/03,02 C 054,ARTICAINE CHLORHYDRATE/ADRENALINE TARTRATE,SEPTANEST ADRENALINE 1/200000,SOL.INJ.,"4G/0,5MG/100ML","B/50CART. DE 1,8ML",LISTE I,HOP,,,SEPTODENT,FRANCE,2003-09-07 00:00:00,2003-09-07 00:00:00,RE,I
51,450/02 C 060/10,02 C 060,BUPIVACAINE CHLORHYDRATE ANHYDRE,BUPIVACAINE MYLAN,SOL INJ INTRA RACHIDIENNE EN AMP,5MG/ML,B/20 AMP DE 4ML,,HOP,,,MYLAN SAS,FRANCE,2010-06-02 00:00:00,2010-02-06 00:00:00,RE,I
52,005/02 D 036/97,02 D 036,PANCURONIUM BROMURE,PAVULON,SOL.INJ.IV,2MG/ML (4MG/2ML),B/50AMP. DE 2ML,LISTE I,HOP,,,ORGANON N.V.,PAYS BAS,1997-11-08 00:00:00,1997-11-08 00:00:00,RE,I
53,262/02 D 048/99,02 D 048,MIVACURIUM,MIVACRON,SOL.INJ.IV,10MG/5ML,B/10,LISTE I,HOP,,,GLAXOSMITHKLINE,FRANCE,1999-06-06 00:00:00,1999-06-06 00:00:00,RE,I
54,447/03 A 001/10,03 A 001,ACIDE ACETYLSALICYLIQUE,ASPIRINE BEKER,COMPRIME,500MG,B/28,,HOP,OFF,,BEKER LABORATOIRES SARL,ALGERIE,2010-09-22 00:00:00,2010-09-22 00:00:00,GE,F
55,319/03 A 001/06,03 A 001,ACIDE ACETYLSALICYLIQUE,GEASPIRIQUE,COMPRIME SECABLE,500MG,B/20,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-04-26 00:00:00,2006-04-26 00:00:00,GE,F
56,263/03 A 002/06,03 A 002,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,LYSOGIC,PDRE. SOL. BUV. EN SACH.-DOSE,100MG/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,BIOPHARM ALGERIE,ALGERIE,2006-07-18 00:00:00,2006-07-18 00:00:00,GE,F
57,376/03 A 004/97/09,03 A 004,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPEGIC,PDRE.ET SOLV. P. SOL. INJ. IM/IV,500MG/FL. DE PDRE.,B/06 FL. DE PDRE. + 06AMP. DE 5ML DE SOLV. (EPPI),,HOP,OFF,,SANOFI AVENTIS,FRANCE,1997-11-08 00:00:00,2009-07-01 00:00:00,RE,I
58,352/03 A 004/08,03 A 004,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,SALITIN,PDRE. SOL. INJ. IM/IV,500MG/FL. DE PDRE.,B/05 FL.DE PDRE.+05AMP. DE 5ML DE SOLV.(EPPI),,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-02-23 00:00:00,2008-02-23 00:00:00,GE,I
59,255/03 A 023/98,03 A 023,ACETYLSALICYLATE DE LYSINE,ASPEGIC,SOL.INJ.,1G,B/06,,HOP,OFF,,SANOFI SYNTHELABO,FRANCE,1998-12-15 00:00:00,1998-12-15 00:00:00,RE,I
60,003/03 A 024/08,03 A 024,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ACEPRAL-L ENFANT,PDRE. SOL. BUV. EN SACH.-DOSE,250MG/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2008-04-08 00:00:00,2008-04-08 00:00:00,GE,F
61,003/03 A 025/08,03 A 025,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ACEPRAL-L ADULTES,PDRE. SOL. BUV. EN SACH.-DOSE,500MG/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2008-12-17 00:00:00,2008-12-17 00:00:00,GE,F
62,003/03 A 069/09,03 A 069,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ACEPRAL-L 1000MG,PDRE. SOL. BUV.,1G/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2009-02-10 00:00:00,2009-02-10 00:00:00,GE,F
63,003/03 A 084/06,03 A 084,ACIDE ACETYLSALICYLIQUE,ASPIRINE BIOTIC,COMPRIME,100MG,B/20,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-01-06 00:00:00,2007-01-06 00:00:00,GE,F
64,003/03 A 104/08,03 A 104,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ACEPRAL L- NOURRISSON,PDRE. SOL. BUV.,100MG/SACH.-DOSE,B/20,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
65,097/03 A 105/08,03 A 105,ACIDE ACETYLSALICYLIQUE/ACIDE ASCORBIQUE/CAFEINE,ANTI GRIP,COMPRIME,450MG/20MG/20MG,B/20,,HOP,OFF,,SANAMED,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
66,400/03 B 005/11,03 B 005,PARACETAMOL,DOLICRANE,COMPRIME,500MG,B/20,,HOP,OFF,,KHROUB PHARMACEUTICAL MANUFACTURING ALGERIA  SARL (KPMA),ALGERIE,2011-09-20 00:00:00,2011-09-20 00:00:00,GE,F
67,392/03 B 005/98/09,03 B 005,PARACETAMOL,DOLIPRANE,COMPRIME,500MG,B/16,,HOP,OFF,,SANOFI AVENTIS SPA,ALGERIE,1996-10-28 00:00:00,2009-04-06 00:00:00,RE,F
68,319/03 B 005/05,03 B 005,PARACETAMOL,GEMAL,COMPRIME,500MG,B/20,,HOP,OFF,,ARAB PHARM SARL,ALGERIE,2005-10-23 00:00:00,2005-10-23 00:00:00,GE,F
69,418/03 B 005/09,03 B 005,PARACETAMOL,PACET,COMPRIME,500MG,B/20,,HOP,OFF,,NEOMEDIC,ALGERIE,2009-07-19 00:00:00,2009-07-19 00:00:00,GE,F
70,263/03 B 005/02/09,03 B 005,PARACETAMOL,PAROL,COMPRIME,500MG,B/20,,HOP,OFF,,BIOPHARM,ALGERIE,1999-01-05 00:00:00,2009-03-28 00:00:00,GE,F
71,289/03 B 005/04,03 B 005,PARACETAMOL,SAPRAMOL,COMPRIME,500MG,B/20,,HOP,OFF,,FRATER,ALGERIE,2004-07-11 00:00:00,2004-07-11 00:00:00,GE,F
72,242/03 B 005/03/09,03 B 005,PARACETAMOL,TYLENOL,COMPRIME SECABLE,500MG,B/20 ET B/100,,HOP,OFF,B/100 RESERVEE AUX HÔPITAUX,GROUPE SANTE,ALGERIE,2003-12-31 00:00:00,2009-04-06 00:00:00,GE,F
73,348/03 B 005/06,03 B 005,PARACETAMOL,DOFEBRIL,COMPRIME SECABLE,500MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUT (API),ALGERIE,2006-07-26 00:00:00,2006-07-26 00:00:00,GE,F
74,195/03 B 005/06,03 B 005,PARACETAMOL,PARACETAMOL IVAL,COMPRIME,500MG,B/20,,HOP,OFF,,PHARMA IVAL,ALGERIE,2006-11-11 00:00:00,2006-11-11 00:00:00,GE,F
75,293/03 B 006/10,03 B 006,PARACETAMOL,PARACETAMOL BIOCARE,GRLES. P. SOL. BUV. SACH.-DOSE,100MG,B/12,,HOP,OFF,,BIOCARE SARL,ALGERIE,2010-11-24 00:00:00,2010-11-24 00:00:00,GE,F
76,231/03 B 007/02,03 B 007,PARACETAMOL,CETALGINE,SUPPO.,100MG,B/10,,HOP,OFF,,SALEM,ALGERIE,2002-09-18 00:00:00,2002-09-18 00:00:00,GE,F
77,035/03 B 007/09,03 B 007,PARACETAMOL,DOLPRIV,SUPPO.,100MG,B/10,,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
78,319/03 B 007/06,03 B 007,PARACETAMOL,GEMAL,SUPPO.,100MG,B/10,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-04-26 00:00:00,2006-04-26 00:00:00,GE,F
79,003/03 B 007/08,03 B 007,PARACETAMOL,PARALGAN,SUPPO.,100MG,B/10,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2008-02-20 00:00:00,2008-02-20 00:00:00,GE,F
80,050/03 B 010/98,03 B 010,PARACETAMOL,PANADOL,COMP.EFFER.,500MG,B/12,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,1998-10-28 00:00:00,1998-10-28 00:00:00,GE,F
81,348/03 B 010/08,03 B 010,PARACETAMOL,DOFEBRIL,COMP. EFFERV.,500MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
82,231/03 B 026/06,03 B 026,Paracétamol/Codéine phosphate hémihydraté,COPARAMOL,COMPRIME,400MG/20MG,B/20,LISTE I,HOP,OFF,,SALEM,ALGERIE,2006-11-11 00:00:00,2006-11-11 00:00:00,GE,F
83,153/03 B 026/04,03 B 026,Paracétamol/Codéine phosphate hémihydraté,COPRALGIR,COMPRIME SECABLE,400MG/20MG,B/16,LISTE I,HOP,OFF,,ELAIA PHARM,FRANCE,2004-11-10 00:00:00,2004-11-10 00:00:00,GE,F
84,008/03 B 034/00,03 B 034,PARACETAMOL/ACIDE ASCORBIQUE,EFFERALGAN VITAMINE C,COMP .EFFER. SEC.,330MG/200MG,B/20,,HOP,OFF,,UPSA,FRANCE,2000-07-09 00:00:00,2000-07-09 00:00:00,RE,I
85,348/03 B 034/08,03 B 034,PARACETAMOL/ACIDE ASCORBIQUE,DOFEBRIL C,COMP. EFFERV.,330MG/200MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUT (API),ALGERIE,2008-09-10 00:00:00,2008-09-10 00:00:00,GE,F
86,457/03 B 040/11,03 B 040,PARACETAMOL,DIALAMOL,GLES.,500MG,B/12,,HOP,OFF,,SOMEDIAL SPA,ALGERIE,2011-02-24 00:00:00,2011-02-24 00:00:00,GE,F
87,319/03 B 040/06,03 B 040,PARACETAMOL,GEMAL,GLES.,500MG,B/20,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-11-11 00:00:00,2006-11-11 00:00:00,GE,F
88,231/03 B 041/07,03 B 041,PARACETAMOL,CETALGINE,SUPPO.,150MG,B/10,,HOP,OFF,,SALEM,ALGERIE,2007-07-22 00:00:00,2007-07-22 00:00:00,GE,F
89,035/03 B 041/09,03 B 041,PARACETAMOL,DOLPRIV,SUPPO.,150MG,B/10,,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-03-07 00:00:00,2009-03-07 00:00:00,GE,F
90,026/03 B 042/06,03 B 042,PARACETAMOL,ALGIMOL ENFANT,SUPPO.,200MG,B/10,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2006-02-21 00:00:00,2006-02-21 00:00:00,GE,F
91,231/03 B 042/02,03 B 042,PARACETAMOL,CETALGINE,SUPP0,200MG,B/10,,HOP,OFF,,SALEM,ALGERIE,2002-09-24 00:00:00,2002-09-24 00:00:00,GE,F
92,035/03 B 042/09,03 B 042,PARACETAMOL,DOLPRIV,SUPPO.,200MG,B/10,,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
93,319/03 B 042/06,03 B 042,PARACETAMOL,GEMAL,SUPPO.,200MG,B/10,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-04-19 00:00:00,2006-04-19 00:00:00,GE,F
94,026/03 B 043/06,03 B 043,PARACETAMOL,ALGIMOL ENFANT,SUPPO.,300MG,B/10,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2006-02-21 00:00:00,2006-02-21 00:00:00,GE,F
95,231/03 B 043/02,03 B 043,PARACETAMOL,CETALGINE,SUPP0.,300MG,B/10,,HOP,OFF,,SALEM,ALGERIE,2002-09-24 00:00:00,2002-09-24 00:00:00,GE,F
96,035/03 B 043/09,03 B 043,PARACETAMOL,DOLPRIV,SUPPO.,300MG,B/10,,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-03-07 00:00:00,2009-03-07 00:00:00,GE,F
97,319/03 B 043/06,03 B 043,PARACETAMOL,GEMAL,SUPPO.,300MG,B/10,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-04-19 00:00:00,2006-04-19 00:00:00,GE,F
98,293/03 B 045/10,03 B 045,PARACETAMOL,PARACETAMOL BIOCARE,GRLES. P. SOL. BUV. SACH.-DOSE,200MG,B/12,,HOP,OFF,,BIOCARE SARL,ALGERIE,2010-11-24 00:00:00,2010-11-24 00:00:00,GE,F
99,003/03 B 057/06,03 B 057,PARACETAMOL/PSEUDOEPHEDRINE CHLORHYDRATE,RHUMEDRINE,COMPRIME SECABLE,500MG/30MG,B/20,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2006-06-07 00:00:00,2006-06-07 00:00:00,GE,F
100,026/03 B 061/05,03 B 061,PARACETAMOL,ALGIMOL-PEDIATRIQUE,SOL. BUV.,0.03,FL 90ML,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2005-10-12 00:00:00,2005-10-12 00:00:00,GE,F
